Business name,Webiste,Address,Number,Email,Note,,Worker,,,,,,,,,,
Authentink Tattoo Studio,https://www.authentink.com/,"306/4-14 Buckingham St, Surry Hills NSW 2010, Australia", +61 2 8399 1973,shop@authentink.com,,,Salman Ahmed,,,,,,,,,,
Thirteen Feet Tattoo,https://thirteenfeettattoo.com/,"482 KING STREET, NEWTOWN NSW 2042",0437 313 135,info@thirteenfeettattoo.com,,,Salman Ahmed,,,,,,,,,,
Little Tokyo,https://www.little-tokyo.com.au/,"Suite 505, 342 Elizabeth Street, Surry Hills, NSW, Australia, 2010",(02) 9211 4023,info@little-tokyo.com.au,,,Salman Ahmed,,,,,,,,,,
The Darling Parlour Tattoo,https://www.thedarlingparlour.com/,"3/13 Beattie St, Balmain NSW 2041, Australia", +61 2 9555 6316,info@thedarlingparlour.com,,,Salman Ahmed,,,,,,,,,,
Lighthouse Tattoo,https://www.lighthousetattoo.com.au/,"1 Pemberton St, Botany, NSW, 2019",61 2 9316 4565,contact@lighthousetattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Tattoora Bondi Body Art Studio,http://www.tattoora.com.au/,"17/79-81 Old South Head RdBondi Junction NSW 2022, Australia",61 2 8875 9157,info@tattoora.com.au,,,Salman Ahmed,,,,,,,,,,
Joya Tattoo Collective,https://www.joyatattoocollective.com/,"Suite 2, Level 1, 428 George street, 2000, Sydney",61 434 469 994,joya.tattoocollective@gmail.com,,,Salman Ahmed,,,,,,,,,,
Markd Tattoo,http://www.markdtattoo.com.au/,"132 Redfern St, Redfern, NSW, 2016",61 2 8592 4371,hello@markdtattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Valhalla Tattoo Studio,https://valhallatattoostudio.com.au/,"1/201 Oxford St, Bondi Junction (from 23/08)",61 478 695 348,admin@valhallatattoostudio.com.au,,,Salman Ahmed,,,,,,,,,,
Kaleidoscope Tattoo Studio,http://kaleidoscopetattoo.com.au/,"255 Bondi Road, Bondi, NSW, Australia, New South Wales",61 2 9365 0167,contact@kaleidoscopetattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Little Frankie's Tattoo Co.,https://www.littlefrankiestattoo.com/,"Inside Wellshare, The Dymocks Building, Level 3, Suite 17/428 George St, Sydney NSW 2000",61 414 147 815,admin@littlefrankiestattoo.com,,,Salman Ahmed,,,,,,,,,,
Pretty in Ink Tattoo,http://www.prettyininktattoo.com/,"986 Victoria Rd, West Ryde NSW 2114 NSW Sydney Australia",61 2 9808 1380,prettyininkwestryde@gmail.com,,,Salman Ahmed,,,,,,,,,,
Live Canvas Tattoo Studio North Shore,https://www.livecanvas-tattoo.com/,"Shop 1 /20 Falcon St, Crows Nest NSW 2065, Australia",61 410 836 536,livecanvastatts@live.com.au,,,Salman Ahmed,,,,,,,,,,
Tattoo Rosie's,http://www.tattoorosies.com/,"246 Riley St, Surry Hills NSW 2010",61 2 9211 0066,info@tattoorosies.com,,,Salman Ahmed,,,,,,,,,,
Tora Sumi Tattoo,http://www.torasumi.com.au/,"381 Darling StBalmain NSW 2041, Australia",61 2 9818 5045,shop@torasumi.com.au,,,Salman Ahmed,,,,,,,,,,
Hunter and Fox Tattoo,http://hunterandfoxtattoo.com/,"422 Botany Road, Beaconsfield, NSW 2015",61 2 9341 2527,hunterandfoxtattoo@live.com,,,Salman Ahmed,,,,,,,,,,
Thanks Tattoo,http://www.thankstattoo.com/,"Basement 80 Oxford Street, Darlinghurst, NSW, Australia, New South Wales",61 2 9360 0401,info@thankstattoo.com,,,Salman Ahmed,,,,,,,,,,
Smart Arts Tattoo,https://smartartstattoo.com.au/,"Baulkham Hills Studio, 335 Windsor Rd, Baulkham Hills, NSW, 2153",61 2 9071 9112,smartartstattoo@gmail.com,,,Salman Ahmed,,,,,,,,,,
Sleevemasters Tattoo Studio,https://sleevemasters.bigcartel.com/,"2/44 Darlinghurst Road, Sydney, NSW, Australia, New South Wales",61 2 9360 1879,first@bigcartel.com,,,Salman Ahmed,,,,,,,,,,
Hibernia Tattoo,https://www.hiberniatattoo.com/,Unit 201/342 Elizabeth St Surry Hills NSW 2010 Australia,61 435 594 161,deancarlyle@gmail.com,,,Salman Ahmed,,,,,,,,,,
King St Tattoo,http://www.sydneytattoo.com.au/,"192 King St, Newtown NSW 2042",61 2 9517 4190,info@industrialstrength.com.au,,,Salman Ahmed,,,,,,,,,,
Washington Tattoo,https://washingtontattoo.com.au/,"Suite 12 Level 7/428 George St, Sydney NSW 2000",61 413 621 171,Support@washingtontattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Skin Deep Tattoo studio,http://www.skindeeptattoo.com.au/,"351 King Street Newtown, NSW 2042.",61 2 9557 0002,tattoo@skindeeptattoo.com.au,,,Salman Ahmed,,,,,,,,,,
Art On Skin,http://www.artonskin.com.au/,"Level 2, 66 Hampden Rd. Artarmon, NSW Australia 2064",61 2 8095 9560,info@artonskin.com.au,,,Salman Ahmed,,,,,,,,,,
