Name,"Address (format: ""10 Jackson Rd, Orlando, FL, 84312"")",,Phone number,Website,Google Maps link (clickable link to access Maps page),Worker
Primary Care Centers,,,,,,
CareNow Urgent Care - Irving,2675 N Belt Line Rd,"2675 N Belt Line Rd, Irving, TX, 75062",(469) 299-5445,https://www.carenow.com/locations/dallas-fort-worth/irving?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/CareNow+Urgent+Care+-+Irving/data=!4m7!3m6!1s0x864e8353eb809e65:0x8b6cdfce9755c5bc!8m2!3d32.843021!4d-96.9928481!16s%2Fg%2F11p9vy0jjp!19sChIJZZ6A61ODToYRvMVVl87fbIs?authuser=0&hl=en&rclk=1,Farooq
MD Family Clinic,1111 S Irving Heights Dr,"1111 S Irving Heights Dr, Irving, TX, 75060",(972) 579-7979,https://mdmedicalgroup.us/location/irving-heights/,https://www.google.com/maps/place/MD+Family+Clinic/data=!4m7!3m6!1s0x864e83542404ce6d:0xf17059b2fba9bb70!8m2!3d32.8014677!4d-96.9259865!16s%2Fg%2F1tdg_q1p!19sChIJbc4EJFSDToYRcLup-7JZcPE?authuser=0&hl=en&rclk=1,
Texas Health Family Care,·,,(972) 443-5300,https://www.care.texashealth.org/thpg/family-care-6500-sierra-drive-suite-150-irving,https://www.google.com/maps/place/Texas+Health+Family+Care/data=!4m7!3m6!1s0x864c28329b099bfb:0x8eb5fcbbe1682787!8m2!3d32.8969686!4d-96.9620024!16s%2Fg%2F1tdky20s!19sChIJ-5sJmzIoTIYRhydo4bv8tY4?authuser=0&hl=en&rclk=1,
Academic Medical Associates,"Medical Office Building II, 2021 N MacArthur Blvd Ste 435","2021 N MacArthur Blvd Suite 435, Irving, TX, 75061",(972) 445-9515,https://www.amatxmed.com/,https://www.google.com/maps/place/Academic+Medical+Associates/data=!4m7!3m6!1s0x864e837cbbf12259:0x5bbc06cb67c55676!8m2!3d32.8349478!4d-96.9620163!16s%2Fg%2F11h_wr3gy3!19sChIJWSLxu3yDToYRdlbFZ8sGvFs?authuser=0&hl=en&rclk=1,
"Srilatha Reddy, MD, PA",3600 Conflans Rd #100,"3600 Conflans Rd #100, Irving, TX, 75061",(972) 870-0788,http://www.drreddyfamilydoctors.com/,"https://www.google.com/maps/place/Srilatha+Reddy,+MD,+PA/data=!4m7!3m6!1s0x864e83c35ecdb4d9:0xbb98c01a12e26f04!8m2!3d32.8214797!4d-96.9950485!16s%2Fg%2F11hch_h81c!19sChIJ2bTNXsODToYRBG_iEhrAmLs?authuser=0&hl=en&rclk=1",
Medical City Las Colinas,6800 N MacArthur Blvd,"6800 N MacArthur Blvd, Irving, TX, 75039",(972) 969-2000,https://www.medicalcityhealthcare.com/locations/medical-city-las-colinas-hospital?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/Medical+City+Las+Colinas/data=!4m7!3m6!1s0x864c2836cad636a9:0xb76cc9f886ad54ef!8m2!3d32.9022165!4d-96.9572148!16s%2Fm%2F04g3c9t!19sChIJqTbWyjYoTIYR71SthvjJbLc?authuser=0&hl=en&rclk=1,
Medical City Las Colinas,6800 N MacArthur Blvd,"6800 N MacArthur Blvd, Irving, TX, 75039",(972) 969-2000,https://www.medicalcityhealthcare.com/locations/medical-city-las-colinas-hospital?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/Medical+City+Las+Colinas/data=!4m7!3m6!1s0x864c2836cad636a9:0xb76cc9f886ad54ef!8m2!3d32.9022165!4d-96.9572148!16s%2Fm%2F04g3c9t!19sChIJqTbWyjYoTIYR71SthvjJbLc?authuser=0&hl=en&rclk=1,
Oak Street Health Irving Primary Care Clinic,2928 N Belt Line Rd,"2928 N Belt Line Rd, Irving, TX, 75062",(214) 617-2218,https://www.oakstreethealth.com/locations/irving-tx/irving-doctors-office?utm_source=listings&utm_vpf=yext,https://www.google.com/maps/place/Oak+Street+Health+Irving+Primary+Care+Clinic/data=!4m7!3m6!1s0x864e83b358591fa3:0x4df96c18ec70f27b!8m2!3d32.8464361!4d-96.9912371!16s%2Fg%2F11q8s7zlvj!19sChIJox9ZWLODToYRe_Jw7Bhs-U0?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical Center - Irving,1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX, 75061",(972) 990-8100,https://www.bswhealth.com/locations/irving-hospital,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+Center+-+Irving/data=!4m7!3m6!1s0x864e8301297838c7:0x8c6d0e41c3617fc7!8m2!3d32.834711!4d-96.960209!16s%2Fg%2F1tf9tb9w!19sChIJxzh4KQGDToYRx39hw0EObYw?authuser=0&hl=en&rclk=1,
