Item Name,Price Paid,Current Value,Note(if needed)
Project (749): PDF to Google sheet,,,
PFA-061,1000,,Duplicate with Item 59
PFA-062,2000,,
PFA-063,1500,,
PFA-064,3000,,
PFA-065,3000,,
PFA-066,3000,,
PFA-067,1500,,
PFA-068,6000,,
PFA-069,1000,,
PP-001,350,,
PP-002,350,,
PP-003,350,,
PP-004,350,,
PP-005,350,,
PP-006,350,,
PP-007,300,,
PP-008,350,,
PP-009,500,,
PP-010,350,,
PP-011,350,,
PP-012,350,,
PP-013,350,,
PP-014,350,,
PP-015,350,,
FR.002,,,4x
FR-003,,,WF 001 3x 250 each
FR-004,,,002-200 each
FR-005,,,003-
FR-006,,,004-sold-250
FR-007,,,005-200
FR-008,,,006-150 015-75
FR-009,,,016-100
FR-010,,,007-150 017-125
FR-011,,,008-125 018-100
FR-012,,,009-106 019-106
FR-028,2250,,010-200 020-125
FR-029,2250,,011-100 021-100
FR-030,2500,,012-100 022-275
LL-001,250,,013-100 023-275
LM-001,2000,,014-300
LM-001,250,,Item number and catagory ar
LM-001,,,
LM-002,4000,,
LM-002,400,,Item number and catagory ar
LM-002,,,
LM-003,8000,,
LM-003,,,
LM-004,2000,,
LM-005,350,,
LM-006,350,,
TW-033,450,,
TW-034,425,,
TW-035,425,,
TW-036,425,,
TW-037,425,,
TW.038,425,,
TW-039,425,,
TW-040,425,,
TW-041,400,,
TW-042,425,,
TW-043,400,,
TW-044,350,,
TW-045,275,,
CLN-003,3000,,
CLN-004,1000,,
CLN-005,2500,,
CLN-006,800,,
CLN-007,1100,,
CLN-008,850,,
CLN-009,2000,,
CLN-010,800,,
CLO-001,40000,,
CLO-002,90000,,Item number and catagory ar
CLO-003,25000,,
CLO-004,22500,,
CLO-005,25000,,
CLO-006,22500,,
CLO-007,65000,,
CLO-008,,,
CLO-009,,,
CLO-010,,,
CLO-011,,,
CLO-012,,,
CLO-013,,,
CLO-014,,,
FR-001,1500,,
PS-001,125,,001  850  024-1500
PS-002,100,,002  850  025-3000
PS-003,125,,003  850  026-900
PS-004,100,,004  850  027-600
PS-005,100,,005  850  028-600
PS-006,100,,006  850  029-600
PS.007,100,,007  850
PS-008,150,,008  850
RD-001,125,,010  850  Lamp-Locty-4000
RD-002,125,,011  850  Green Hand 4-000
RD-003,125,,012  850  Long-each (2)
RD-004,125,,013  850  Aanella long 1000 Each (2)
TB-001,1100 - 2 Items,,016  850  Yellow large-125
TB-002,206,,017  850
TB-003,2000,,"018  850  Radiators-45,000 for all"
TC-001,75,,019  850  postage mahise 275
TC-002,75,,020  850
TC-003,300,,021  850
TC-004,300,,022  850  Carallestacks-200
TC-005,35,,023  850  Coca cola-clock-sold Callisto-250
TW-004,600,,
TW-005,300,,
TW-006,400,,
TW-007,400,,
TW-008,400,,
TW-009,350,,
TW-010,400,,
TW-011,400,,
TW-012,350,,
TW-013,350,,
TW-014,400,,
TW-015,250,,
TW-016,250,,
TW-018,350,,
TW-019,200,,
TW-020,350,,
TW-021,450,,
TW-022,375,,
TW-023,275,,
TW-024,525,,
TW-025,225,,3 white image
TW-026,250,,
TW-027,725,,
TW-028,725,,
TW-029,725,,
TW-030,725,,
TW-031,725,,
TW-032,725,,
