Crunchbase link,Business Name,Website,Contact Form Link,Email,Phone,Address,City,State,Country,Business Type,Brief Description,,Notes,Worker
,Red Wolf Technology,https://www.redwolf.io/,https://www.redwolf.io/contact-us,support@redwolf.io,833-733-9053,"Lehi, Utah 84043, United States",Lehi,Utah,United States,Consumer Services,"Red Wolf Technology is a pioneer in consumer electronics and mobile device repair, providing innovative products like SMART SCRATCH REMOVAL system and on-demand screen protectors for retailers to create custom-fit solutions on the spot",,,Sharoon
,ADDAX Overland,https://www.addaxoverland.com/,https://www.addaxoverland.com/pages/contact,ellesse@addaxoverland.com,,"2901 Bluegrass Blvd Ste 410, Lehi, Utah, 84043, United States",Lehi,Utah,United States,Automotive,"ADDAX Overland's 60 years of off-road obsession channeled into one relentless pursuit: building the most badass overlanding gear on the planet. We're not about cookie-cutter campers and flimsy trailers. ADDAX is for those who crave the freedom of the open road, the thrill of conquering untouched terrain, and the satisfaction of forging your own path. Tired of the typical camping rut? Us too. That's why we ditched the limitations of traditional setups and built our military-grade overlanding trailers. The ADDAX Overland Trailer is durable enough to handle nearly anything you throw at it, yet comfortable for extended journeys. ADDAX is a whole new class of overlanding equipment designed to take you further off-grid than ever before.",,,Sharoon
,OMOS Golf,https://omos.golf/,https://omos.golf/pages/contact,info@omosgolf.com,,"Salt Lake City, UT 84117",Salt Lake City,Utah,United States,Sporting Goods,Omos Golf is a Salt Lake City-based golf company specializing in high-end golf tools and accessories. They offer a range of premium products designed to enhance the golfing experience for enthusiasts and professionals alike.,,,Sharoon
,Shop Alta Brand,https://shopaltabrand.com/,https://shopaltabrand.com/pages/contact-us,hello@shopaltabrand.com,,"Lehi, Utah, United States",Lehi,Utah,United States,Apparel and Fashion,"Shop Alta Brand offers medical scrubs and apparel for healthcare professionals, prioritizing comfort and style in the workplace.",,,Sharoon
,Gravity Grabber,https://www.gravitygrabber.com/,https://www.gravitygrabber.com/pages/contact-us,customerservice@gravitygrabber.com,435-557-3057,"1189 W 1700 N, STE 200 Logan, UT 84321",Logan,Utah,United States,Sporting Goods,"Founder and owner, Steve Jenson (AKA: Stevil), is an avid outdoor enthusiast who enjoys mountain biking, powder surfing, snowboarding, skiing, snowmobiling, hiking, and camping. Steve got the name Stevil, due to his need for speed and adrenaline. Skilled at what he does, while participating in the outdoor activities that he loves he has managed to break his back, femur, and many other bones. Stevil got tired of his constant messy garage and scrambling through the enormous pile of equipment in the corner. He tried multiple indoor storage racks, but found that his equipment would be damaged, fall, or was not user friendly. That's when the idea for Gravity Grabber® was born. After months of design, Stevil had a finished product. He threw some on the wall and finally found what he was looking for. Stevil is a self made entrepreneur, and now owns 4 businesses, all located in Logan, Utah. In hopes of helping others that have the same problem he once had, introducing to you,Gravity Grabber",,,Sharoon
,Golf Course Prints,https://golfcourseprint.com/,https://golfcourseprint.com/pages/contact,hello@golfcourseprint.com,,"Heber, Utah, United States",Heber,Utah,United States,Graphic Design,Golf Course Prints is a company that specializes in creating artwork of your favorite golf courses. They offer premium quality printed maps and golf course signature designs. The prints are available in customized sizes.,,,Sharoon
,Turning Hearts,https://turninghearts.com/,https://turninghearts.com/pages/contact,info@turninghearts.com,385-786-8641,"106 East 710 North Lindon, UT 84042",Lindon,Utah,United States,Online Media,"Turning Hearts offers personalized memorial medallions with a lifetime warranty, including two weather-resistant medallions, adhesives, and a free online profile.",,,Sharoon
,Packd Bags,https://packdbags.com/,https://packdbags.com/pages/contact-us,collabs@packdbags.com,,"Salt Lake City, UT, United States",Salt Lake City,Utah,United States,Retail,"Packd offers space-saving mailer bags for travelers, allowing them to send their dirty clothes back home with pre-labeled and pre-paid bags. This service helps travelers make room in their suitcases for souvenirs and other items, providing a convenient.",,,Sharoon
,Ethik,https://ethik.co/,https://ethik.co/pages/contact-us,info@ethik.co,,"560 S 100 W Suite #6 Provo, Utah, United States 84601",Provo,Utah,United States,International Trade & Development,"Ethik is a premium gifting supplier offering sustainable and ethically sourced handmade gifts from artisans worldwide. They enable companies to make an impact by choosing gifts made by brilliant makers, supporting important cultural practices and build",,,Sharoon
,Fort Desolation,https://www.fortdesolation.com//,https://www.fortdesolation.com/contact-us/,info@fortdesolation.com,,"928 S Main Street, Salt Lake City, UT 84101",Salt Lake City,Utah,United States,Industrial Engineering,"Fort Desolation is a frontier trading company that offers goods and gatherings for outdoor adventure travelers. They host Fort Desolation Fest, a music and adventure travel festival in Southern Utah, providing outfitting services for outdoor enthusiasts.",,,Sharoon
,Cosmetic Laser Exchange,https://cosmeticlaserexchange.com/,,lasermarketinggroupllc@gmail.com,800-247-7086,"103 N 1100 W, Lehi, Utah, 84043, United States",Lehi,Utah,United States,Medical Devices,"Cosmetic Laser Exchange offers new and used quality cosmetic lasers worldwide, connecting buyers and sellers globally to meet individual practice needs",,,Sharoon
,BRNG Bag,https://brngbag.com/,https://brngbag.com/pages/contact,hello@brngbag.com,,"Sandy, Utah, United States",Sandy,Utah,United States,Apparel and Fashion,"Founded in 2021 by Jacqui McMahon, BRNG is all about making life easy so we have more time to enjoy it. Our sustainable, waterproof totes are designed to carry it all, whenever and wherever you go. Completely compact with style, our bags take the stress out of staying organized and do all the heavy lifting for you. From the airport to the beach or baseball practice to dance class, you’ll never have to worry — it’s all in the bag.",,,Sharoon
,X2 Development Group,https://x2devgroup.com/,https://x2devgroup.com/faq-contact-us/,noah@x2devgroup.com,,"767 S Auto Mall Dr, American Fork, UT 84003, USA",American Fork,Utah,United States,Defense & Space,"X2DEVGROUP specializes in the design and manufacturing of precision-engineered firearm configurations, specifically focusing on .223/AR 15 and .308/AR 10 models, utilizing 100% CNC machining to enhance performance and reliability by eliminating stress",,,Sharoon
,Borderland Supply Co.,https://borderlandsupplyco.com/,,borderlandsupplyco@gmail.com,801-800-0030,"1800 S State St, Orem, UT 84097, US",Orem,Utah,United States,Leisure,"Borderlandsupplyco offers authentically recreated Trapper Pack Mount Frames, hand-made in the USA with premium construction and historically accurate materials to give a century-old look. Perfect for displaying memories of exploration and hunting",,,Sharoon
,Dorai Home,https://doraihome.com/,https://doraihome.com/pages/contact-us,info@doraihome.com,866-393-6724,"933 S Edison St, #201, Salt Lake, UT",Salt Lake,Utah,United States,Consumer Goods,"Dorai Home offers eco-friendly kitchen and bathroom products with Diomat technology to prevent mold and bacteria, combining nature-inspired designs with functionality",,,Sharoon
,MyoStorm,https://www.myostorm.com/,,support@myostorm.com,480-208-6568,"663 Stadium Avenue, Provo, Utah, US 84604",Provo,Utah,United States,Fitness,"The world of muscular recovery and pain management is quickly becoming saturated with hundreds of products, including massage balls, vibrating foam rollers, heat wraps, ice packs, percussion massage guns, and supplements. Many of these products are based on outdated technology. This market saturation creates an uphill battle for you, the consumer, to find the right product for your needs. At MyoStorm, our goal is to provide you with products that are new and innovative and proven to be effective. Our passion for the industry, combined with decades of cumulative experience in engineering and exercise physiology, makes us capable of providing products that can be trusted to perform.",,,Sharoon
,The Girls Company,https://thegirlsco.com/,,contact@thegirlsco.com,,"Provo, Utah, United States",Provo,Utah,United States,Consumer Goods,"The Girls Company provides The Band, a thin fabric band with heated pouches, to alleviate period cramps and back pain, allowing users to stay active and pain-free during their periods",,,Sharoon
,Viori,https://viori.com/,https://viori-faq.gorgias.help/en-US/contact,sales@viori.com,435-254-4800,"1123 N 1430 W Orem, UT 84057",Orem,Utah,United States,Health/beauty,"VIORI is a company inspired by the ancient haircare rituals of the Red Yao Tribe, specializing in handcrafted solid shampoo and conditioner bars made with ritually prepared Longsheng Rice water",,,Sharoon
,Rebel Creamery,https://rebelcreamery.com/,https://rebelcreamery.com/pages/contact,support@rebelcreamery.com,912-261-4730,"125 W Main St, Midway, UT 84049, USA",Midway,Utah,United States,Food & Beverages,"Rebel Creamery provides full-fat dairy ice cream with no added sugar, offering a guilt-free indulgence for those seeking a low-carb, high-fat, and keto-friendly treat.",,,Sharoon
,Splay Shoes,https://splayshoes.com/,https://splayshoes.com/pages/contact-us,info@splayathletics.com,,"145 S Main Street, Suite B, Bountiful, Utah 84010, United States",Bountiful,Utah,United States,Apparel and Fashion,"Splay Shoes offers footwear that feels like freedom, with the signature FREESTYLE LEATHER Midnight providing foot-friendly design and superior comfort for all-day wear",,,Sharoon
