Business Name,Address,City,State,Zip,License Number,Phone Number,Contractor Type,Website,Email,Sourse Link,Worker
'FINAL TOUCH' PAINTING,55 W 20TH AVENUE #304,SAN MATEO,CA,94403,645285,(415) 601-1017,Painting,,,,Ashan
#1 PRO ELEC JMG INC,3112 ACORN CT,SAN JOSE,CA,95117,1066209,(408) 712-6690,Electrical,,,,Ashan
$15 SEWER AND DRAIN SERVICE,166 GRAHAM AVE,SAN JOSE,CA,95110,501065,(408) 279-1515,Plumbing,https://15sewer.com/,1500seweranddrain@gmail.com,https://15sewer.com/contact-us,Ashan
1 EARTH LANDSCAPE & CONSTRUCTION,425 NORTH 9TH STREET,SAN JOSE,CA,95112,953386,(408) 218-5752,Landscaping,,,,Ashan
1 HARO 1 LLC,1577B BRANHAM LN,SAN JOSE,CA,95118,1109668,(408) 464-4564,HVAC,https://1haro1hvac.us/,accounting@1haro1hvac.us,https://1haro1hvac.us/contact/,Ashan
1 HOUR DRAIN HOTSHOT RESTORATION,1154 UTOPIA PL,SAN JOSE,CA,95127,946359,(408) 825-1362,General,,,,Ashan
1 HOUR DRAIN HOTSHOT RESTORATION,1154 UTOPIA PL,SAN JOSE,CA,95127,946359,(408) 825-1362,HVAC,,,,Rehan
1 HOUR DRAIN HOTSHOT RESTORATION,1154 UTOPIA PL,SAN JOSE,CA,95127,946359,(408) 825-1362,Plumbing,,,,Rehan
10 STAR ELECTRIC,523 WAR ADMIRAL AVE,SAN JOSE,CA,95111,1061410,(408) 807-5418,Electrical,,,,Ashan
10-4 MILLWORK,3333 MARISMA ST,SAN MATEO,CA,94403,1126005,(650) 863-2333,Finish Carpentry,,,,Ashan
101 HAULING SERVICES,1375 ORLANDO DR,SAN JOSE,CA,95122,1100230,(408) 874-5132,Demolition,,,,Ashan
101 LANDSCAPE & DESIGN INC,873 LEWISTON DRIVE,SAN JOSE,CA,95136,1083889,(408) 269-0101,Landscaping,https://www.101landscapeanddesign.com/contact,alex@101LandscapeandDesign.com,https://www.101landscapeanddesign.com/contact,Ashan
1153 SAN RAFAEL LLC,1104 CORVALLIS DRIVE,SAN JOSE,CA,95120,1060621,(408) 712-4692,General,,,,Ashan
1153 SAN RAFAEL LLC,1104 CORVALLIS DRIVE,SAN JOSE,CA,95120,1060621,(408) 712-4692,HVAC,,,,Rehan
12 RIVERS CONSTRUCTION,980 FRANQUETTE AVE,SAN JOSE,CA,95125,1106889,(408) 206-8909,General,,,,Ashan
153 CORNERSTONE CONSTRUCTION INC,40959 CRUZ CT,FREMONT,CA,94539,886263,(650) 283-9252,General,,,,Ashan
153 CORNERSTONE CONSTRUCTION INC,40959 CRUZ CT,FREMONT,CA,94539,886263,(650) 283-9252,Electrical,,,,Rehan
1ST CONSTRUCTION,1661 NORD LANE,SAN JOSE,CA,95125,811997,(408) 646-1646,General,,,,Ashan
2001 CONSTRUCTION GROUP,14217 ESTHER DR,SAN JOSE,CA,95124,557748,(408) 371-2006,General,,,,Ashan
2001 SECURITY SYSTEM AND ELECTRICAL WORKS,4529 HOUNDSHAVEN WAY,SAN JOSE,CA,95111,657008,(408) 639-2001,Electrical,,,,Ashan
2020 HEATING & AIR INC,1035 E TAYLOR STREET,SAN JOSE,CA,95112,1092631,(408) 661-9138,HVAC,https://2020hvac.com/AboutUs.html,2020heating.air.inc@gmail.com,https://2020hvac.com/AboutUs.html,Ashan
24 / 7 CONCRETE INC,898 CANOAS CREEK CIRCLE,SAN JOSE,CA,95136,943313,(408) 426-6169,Concrete,,,,Ashan
3 M P BUILDERS INC,1849 LOCH NESS WAY,SAN JOSE,CA,95121,1030993,(408) 314-8810,General,,,,Ashan
3 STAR CONSTRUCTION INC,1944 MANDARIN WAY,SAN JOSE,CA,95122,1091964,(408) 334-8675,General,http://3star-construction.com/#contact,MckewanKarol857@gmail.com,http://3star-construction.com/#contact,Ashan
3-K ROOFING INC,125 CHATEAU LA SALLE DR,SAN JOSE,CA,95111,1052120,(408) 592-0939,Roofing,https://3kroofinginc.com/,3kroofinginc@gmail.com,https://3kroofinginc.com/,Ashan
360 DEGREES CONCRETE INC,42560 GAGE CT,FREMONT,CA,94538,1064561,(209) 321-6889,Concrete,,,,Ashan
360 ELITE BUILDERS INC,1461 E SAN ANTONIO ST,SAN JOSE,CA,95116,1014916,(408) 320-2535,General,https://360elitebuilders.com/contact-us.html,info@360elitebuilders.com,https://360elitebuilders.com/contact-us.html,Ashan
3B CONCRETE,858 DI FIORE DR APT 4,SAN JOSE,CA,95128,1101555,(408) 207-3989,Concrete,,,,Ashan
3E DESIGN - BUILD INC,4005 CLIPPER CT,FREMONT,CA,94587,1087739,(510) 735-6475,General,,,,Ashan
3M GENERAL SERVICES,93 WEST ALMA AVENUE,SAN JOSE,CA,95110,1042329,(408) 472-9395,Electrical,,,,Ashan
3M GENERAL SERVICES,93 WEST ALMA AVENUE,SAN JOSE,CA,95110,1042329,(408) 472-9395,HVAC,,,,Rehan
3RD GENERATION BUILDING AND DESIGN,5811  LALOR DR,SAN JOSE,CA,95123,934679,(408) 834-2318,General,,,,Ashan
3RD GENERATION BUILDING AND DESIGN,5811  LALOR DR,SAN JOSE,CA,95123,934679,(408) 834-2318,Tile,,,,Rehan
3SERG HOMEBUILDER INC,2460 SHILSHONE CIRCLE,SAN JOSE,CA,95121,1062416,(408) 592-1792,General,,,,Ashan
408 ELECTRIC,2156 WILLESTER AVE,SAN JOSE,CA,95124,1117079,(408) 688-6840,Electrical,,,,Ashan
5 BROTHERS BEST CONSTRUCTION INC,83 ROUNDTABLE DR APT 2,SAN JOSE,CA,95111,1124900,(408) 859-2320,General,,,,Ashan
5B CONSTRUCTION,3584 KIRKWOOD DR,SAN JOSE,CA,95117,1119099,(408) 835-5879,General,,,,Ashan
5B CONSTRUCTION,3584 KIRKWOOD DR,SAN JOSE,CA,95117,1119099,(408) 835-5879,Electrical,,,,Rehan
5B CONSTRUCTION,3584 KIRKWOOD DR,SAN JOSE,CA,95117,1119099,(408) 835-5879,HVAC,,,,Rehan
65 CONSTRUCTION,3628 HEATHCOT COURT,SAN JOSE,CA,95121,923305,(408) 515-6458,General,,,,Ashan
7 M GENERAL ENGINEERING INC,1479 SARATOGA AVE STE 110A,SAN JOSE,CA,95129,1063168,(916) 402-4737,General,,,,Ashan
72 DEGREES,6866 SANTA TERERESA BLVD,SAN JOSE,CA,95119,874695,(408) 437-2442,HVAC,,,,Ashan
72 INFINITY HEATING & AIR INC,4516 APTOS AVE,SAN JOSE,CA,95111,1023090,(408) 605-2756,HVAC,,,,Ashan
804 CONSTRUCTION,804 DEBOER LANE,SAN JOSE,CA,95111,1083091,(669) 400-1572,General,,,,Ashan
804 CONSTRUCTION,804 DEBOER LANE,SAN JOSE,CA,95111,1083091,(669) 400-1572,Plumbing,,,,Rehan
9 BUILDERS INC,1179 GAINSVILLE AVE,SAN JOSE,CA,95122,1132916,(408) 647-6476,General,,,,Ashan
A - 1 HEATING AND COOLING INC,476 W TAYLOR STREET,SAN JOSE,CA,95110,966809,(408) 283-9915,HVAC,,,,Ashan
A - 1 HOME REPAIRS INC,6088 GLEN HARBOR DRIVE,SAN JOSE,CA,95123,921651,(408) 775-1304,General,https://a1constructionremodel.com/contact-us/,a1remodel786@gmail.com,https://a1constructionremodel.com/contact-us/,Ashan
A - 1 TREE SERVICE INC,P O BOX 24294,SAN JOSE,CA,95154,698160,(408) 448-6408,Tree,,,,Ashan
A - MAC CONSTRUCTION,50 W 3RD AVE #4,SAN MATEO,CA,94402,738845,(415) 601-4698,General,,,,Ashan
A - ONE CONSTRUCTION,45847 WARM SPRINGS BLVD,FREMONT,CA,94539,929384,(510) 347-5400,General,https://www.a-oneroofs.com/,careers@aoneroof.com,https://www.a-oneroofs.com/,Zohaib Tariq
