MDU Site Information Site ID,Place Information Full Address,,State,Market code,,Provider
Project (893): Data Entry / Web Research,,,,,,
CALAX0009,"3737 Martin Luther King Jr Boulevard, Lynwood, CA, 90262","3737 Martin Luther King Jr Boulevard, Lynwood, CA, 90262",CA,LAX,Result Not Found,
CALAX0147,"311 S Berendo Street, Los Angeles, CA, 90020","311 S Berendo Street, Los Angeles, CA, 90020",CA,LAX,,Air
CALAX0581,"1925 20th Street, Santa Monica, CA, 90404","1925 20th Street, Santa Monica, CA, 90404",CA,LAX,AT&T Internet Air is available.,Air
CALAX0581,"1933 20th Street, Santa Monica, CA, 90404","1933 20th Street, Santa Monica, CA, 90404",CA,LAX,AT&T internet may be available,
CALAX1104,"6218 West 82nd Street, Los Angeles, CA, 90045","6218 West 82nd Street, Los Angeles, CA, 90045",CA,LAX,,No
CALAX1321,"3964 Hillcrest Drive, Los Angeles, CA, 90008","3964 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1321,"3966 Hillcrest Drive, Los Angeles, CA, 90008","3966 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1321,"3968 Hillcrest Drive, Los Angeles, CA, 90008","3968 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1321,"3970 Hillcrest Drive, Los Angeles, CA, 90008","3970 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1321,"3974 Hillcrest Drive, Los Angeles, CA, 90008","3974 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1321,"3960 Hillcrest Drive, Los Angeles, CA, 90008","3960 Hillcrest Drive, Los Angeles, CA, 90008",CA,LAX,Result Not Found,
CALAX1406,"935 North Ardmore Avenue, Los Angeles, CA, 90029","935 North Ardmore Avenue, Los Angeles, CA, 90029",CA,LAX,,Air
CALAX1406,"939 North Ardmore Avenue, Los Angeles, CA, 90029","939 North Ardmore Avenue, Los Angeles, CA, 90029",CA,LAX,,Air
CALAX1406,"937 North Ardmore Avenue, Los Angeles, CA, 90029","937 North Ardmore Avenue, Los Angeles, CA, 90029",CA,LAX,,Air
CALAX1406,"933 North Ardmore Avenue, Los Angeles, CA, 90029","933 North Ardmore Avenue, Los Angeles, CA, 90029",CA,LAX,,Air
CALAX1648,"827 West Beach Avenue, Inglewood, CA, 90302","827 West Beach Avenue, Inglewood, CA, 90302",CA,LAX,,Air
CALAX1655,"816 South Bundy Drive, Los Angeles, CA, 90049","816 South Bundy Drive, Los Angeles, CA, 90049",CA,LAX,,Air
CALAX1762,"11936 Darlington Avenue, Los Angeles, CA, 90049","11936 Darlington Avenue, Los Angeles, CA, 90049",CA,LAX,,Air
