Company Name,Address,Mobile Phone,Primary Phone No,Secondary Phone No,Email Address,Director 1 First Name,Director 1 Surname,Director 2 First Name,Director 2 Surname,Director 3 First Name,Director 3 Surname,Director 4 First Name,Director 4 Surname,Business Category,Website,Note,Worker
Project (74): New Zealand Yellow Pages and Companies Office,,,,,,,,,,,,,,,,,
Wallace & Cooper Ltd,"12 Charman Street, Timaru Port, Timaru 7910, New Zealand",021 2436 437,03 6847159,03 684 7898,,Gary ,CROSS,,,,,,,Hydraulic Engineering Services,https://wce.co.nz/,,Najam
ITSS Engineering LTD,"24 Morrison Drive, Warkworth 0910, New Zealand",,09 4257116,,office@itsseng.nz,Hugh Edward ,HARVEY,,,,,,,Hydraulic Engineering Services,https://www.itsseng.nz/,,Najam
CRV Equipment Ltd,"5 Pacific Place, Wanganui, 4500 , New Zealand",027 318 4061,06 3487860,,vince@crv.co.nz,Thomas Joseph ,LAVIN,,,,,,,Hydraulic Engineering Services,www.crv.co.nz,,Najam
Dewtec Ltd,"889 Tremaine Avenue, Roslyn, Palmerston North 4414, New Zealand",,06 3687197,06 353 0700,sales@dewtec.co.nz,David Paul ,DEWAR,,,,,,,Hydraulic Engineering Services,https://www.dewtec.co.nz/,,Najam
Manawatu Hydraulics Limited,827 Tremaine Ave Palmerston North,,06 3571365,,manawatuhydraulics827@gmail.com,David James ,BURR,Paul Allen ,BURR,,,,,Hydraulic Engineering Services,https://sites.google.com/site/manawatuhydraulics/home,,Najam
Tracgrip Hydraulics & Equipment Limited,357 Tremaine Avenue Takaro Palmerston North 4412,,06 3570999,,sales@tracgrip.co.nz,Kerry Jack ,HALLIGAN,,,,,,,Hydraulic Engineering Services,https://www.tracgrip.co.nz/,,Najam
Diverse Hydraulics & Pneumatics 2020 LIMITED,"121 Vickerman Street Port Nelson PO Box 7081, Nelson New Zealand",,03 5456415,,info@dehp.co.nz,John Patrick ,ASHMORE,,,,,,,Hydraulic Engineering Services,https://www.diverseengineering.co.nz/,,Najam
Byrnebuilt Engineering Ltd,"9 Pak Lim's Road Renwick, Marlborough 7204",,021 456936,,byrnebuilt@xtra.co.nz,Adrian Christopher ,BYRNE,Ai Ngo ,BYRNE,,,,,Hydraulic Engineering Services,https://www.byrnebuiltengineering.co.nz/,,Najam
Ormond Engineering LTD,21 Edwin Feist Place Solway Masterton 5810,,06 3787790,,accounts@oren.co.nz,Kevin ,ORMOND,Victor William Lenard ,ORMOND,Sylvia Jean ,ORMOND,,,Hydraulic Engineering Services,https://www.oren.co.nz/,,Najam
M.J. Custom Engineering LTD,880 Napier Road Whakarongo Palmerston North 4470,,06 3558155,,matt@mjcustom.co.nz,Edward John ,HOWARD,Matthew David ,HOWARD,,,,,Hydraulic Engineering Services,http://www.mjcustomengineering.co.nz/,,Najam
