Speaker Name,On Speaker List?,Website Source of Info,Organization Name,Organization Acronym (if Relevant),Event Name (Not Year Specific),Start Date,End Date,City,State,Future Event,Event Attendance,Notes,Worker
David Avrin,Y,https://www.nationalpawnbrokers.org/assets/2022/08/summer-updated-2022-2-up.pdf,National Pawn Brokers,NPB,Pawn Expo,11-Jul-2022,14-Jul-2022,Las Vegas,NV,,,,
Brian Schul,N,https://www.nationalpawnbrokers.org/assets/2022/08/summer-updated-2022-2-up.pdf,National Pawn Brokers,NPB,Pawn Expo,11-Jul-2022,14-Jul-2022,Las Vegas,NV,,,,
Gene Marks,N,https://www.pawnexpo.com/conference-schedule,National Pawn Brokers,NPB,Pawn Expo,21-Jul-2025,24-Jul-2025,Atlanta,GA,,,,
David Avrin,Y,https://nrta.org/wp-content/uploads/2022/05/NRTA-Conf-Brochure-2022-1.pdf,National Real Estate Tenants Association,NRTA,Annual Conference,11-Sep-2022,14-Sep-2022,Phoenix,AZ,,,,
Christine Cashen,N,https://nrta.org/save-the-date-nrta-2023-national-conference/,National Real Estate Tenants Association,NRTA,Annual Conference,17-Sep-2023,20-Sep-2023,Fort Lauderdale,FL,,,,
Meridith Elliott Powell,Y,https://www.afla.org/page/AFLA2024,Automotive and Fleet Leasing Association,AFLA,Annual Conference,15-Sep-2024,18-Sep-2024,San Antonio,TX,,,,
David Horsager,N,https://www.afla.org/page/AFLA2024,Automotive and Fleet Leasing Association,AFLA,Annual Conference,15-Sep-2024,18-Sep-2024,San Antonio,TX,,,,
Mike Pitcher,N,https://www.afla.org/page/AFLA2023,Automotive and Fleet Leasing Association,AFLA,Annual Conference,2-Oct-2023,5-Oct-2023,Phoenix,AZ,,,,
Jamie Clark,N,https://www.afla.org/page/AFLA2023,Automotive and Fleet Leasing Association,AFLA,Annual Conference,2-Oct-2023,5-Oct-2023,Phoenix,AZ,,,,
N/A,N,https://www.afla.org/page/AFLA2025,Automotive and Fleet Leasing Association,AFLA,Annual Conference,14-Sep-2025,17-Sep-2025,Marco Island,FL,Y,,,
David Avrin,Y,https://www.bscai.org/Events/Executive-Management-Conference/Agenda,Building Service Contractors Association International,BSCAI,Exec Management Conference,17-May-2018,19-May-2018,Miami Beach,FL,N,,3 Hour Session,
Matt Mayberry,N,https://www.bscai.org/Events/Executive-Management-Conference/Agenda,Building Service Contractors Association International,BSCAI,Exec Management Conference,17-May-2018,19-May-2018,Miami Beach,FL,N,,3 Hour Session,
Patti Wood,N,https://www.bscai.org/Events/Executive-Management-Conference/Agenda,Building Service Contractors Association International,BSCAI,Exec Management Conference,17-May-2018,19-May-2018,Miami Beach,FL,N,,,
Marc Koehler,N,https://www.bscai.org/Events/In-Person-Events/Executive-Management-Conference/Speakers,Building Service Contractors Association International,BSCAI,Exec Management Conference,7-May-2025,9-May-2025,Hilton Head Island,SC,Y,,,
Jessica Kriegel,N,https://www.bscai.org/Events/In-Person-Events/Executive-Management-Conference/Speakers,Building Service Contractors Association International,BSCAI,Exec Management Conference,7-May-2025,9-May-2025,Hilton Head Island,SC,Y,,,
Caleb Campbell,N,https://www.bscai.org/Events/Executive-Management-Conference/Speakers,Building Service Contractors Association International,BSCAI,Exec Management Conference,25-Apr-2024,27-Apr-2024,Orlando,FL,N,,,
Rob Cilia,N,https://www.bscai.org/Events/Executive-Management-Conference/Speakers,Building Service Contractors Association International,BSCAI,Exec Management Conference,25-Apr-2024,27-Apr-2024,Orlando,FL,N,,,
