Name,First Name,Email Adress,Worker
JOSH BERD DDS INC,JOSH BERD DDS INC team,INFO@THEDENTISTGROUP.COM,Hassan
UCSF PEDIATRIC DENTISTRY,UCSF PEDIATRIC DENTISTRY team,PEDIATRICS.DENTISTRY@UCSF.EDU,Hassan
FOLSOM STREET DENTAL,GAURAV,GAURAVSETIADDS@GMAIL.COM,Hassan
EQUITY HEALTH,EQUITY HEALTH team,INFO@EQUITYHEALTH.ORG,Hassan
LINDA YIP DDS INC,LINDA,DRLINDAYIP@GMAIL.COM,Hassan
MISSION NEIGHBORHOOD HEALTH CENTER,MISSION NEIGHBORHOOD HEALTH CENTER team,MNHCDENTAL@MNHC.ORG,Hassan
NATIVE AMERICAN HEALTH CENTER INC,NATIVE AMERICAN HEALTH CENTER INC team,AMYH@NATIVEHEALTH.ORG,Hassan
RAUL A MONTALVO DDS,RAUL A MONTALVO DDS team,RAULDDS1@AOL.COM,Hassan
STEVEN ADAME DDS,STEVE,STEVEADAMEDDS@GMAIL.COM,Hassan
JENNIFER D TERRY DDS,JENNIFER D TERRY DDS team,DRTERRY@TERRYDENTAL.COM,Hassan
7X7 DENTAL IMPLANT & ORAL SURGERY SPECIALISTS,7X7 DENTAL IMPLANT & ORAL SURGERY SPECIALISTS team,FRONTDESK@7X7ORALSURGERY.COM,Hassan
SYMPHONY DENTAL STUDIO,SYMPHONY DENTAL STUDIO team,FRONTDESK@SYMPHONYDENTALSF.COM,Hassan
KENNETH L FONG DDS,KENNETH L FONG DDS team,INFO@KENNETHFONGDDS.COM,Hassan
HAIGHT STREET DENTAL,HAIGHT STREET DENTAL team,HAIGHTSTREETDENTAL@GMAIL.COM,Hassan
SOMA ENDODONTICS,SOMA ENDODONTICS team,INFO@SOMA-ENDO.COM,Hassan
AMANDA LAVORINI DDS INC,AMANDA LAVORINI DDS INC team,APRIL@TOTALHEALTHDENTALCARE.COM,Hassan
ERNIE S LAVORINI DDS,ERNIE S LAVORINI DDS team,ELAVORINIDDS@YAHOO.COM,Hassan
KEVIN CARRINGTON DENTAL CORP,KEVIN CARRINGTON DENTAL CORP team,INFO@CARRINGTONORTHODONTICCENTER.COM,Hassan
WESTERN DENTAL SERVICES INC,WESTERN DENTAL SERVICES INC team,049BOK@WESTERNDENTAL.COM,Hassan
FRANKLIN DENTAL CARE,FRANKLIN DENTAL CARE team,INFO@FRANKLINDENTALCAREOAKLAND.COM,Hassan
GRETCHEN J BRUCE DDS,GRETCHEN J BRUCE DDS team,FRONTOFFICE@EASTBAYPERIO.COM,Hassan
TRINH BRIAN BINH H DDS,TRINH BRIAN BINH H DDS team,BRIANTRINHDDS@GMAIL.COM,Hassan
JAMES L WEAVER JR,JAMES L WEAVER JR team,DR_KIMO@SBCGLOBAL.NET,Hassan
ERIC A LIM DDS,ERIC A LIM DDS team,E_LIM@U.PACIFIC.EDU,Hassan
OAKLAND DENTAL CARE,OAKLAND DENTAL CARE team,OAKLANDDENTALCARE315@GMAIL.COM,Hassan
TIMOTHY H HAN DDS CORPORATION,TIMOTHY H HAN DDS CORPORATION team,TIMOTHYHANDDS@GMAIL.COM,Hassan
ADVANCED DENTAL CONCEPTS OF OAKLAND,ADVANCED DENTAL CONCEPTS OF OAKLAND team,ADMIN@ADVANCEDDENTALCONCEPTSOAKLAND.COM,Hassan
ADVANCE DENTAL CONCEPTS,ADVANCE DENTAL CONCEPTS team,INFO@ADVANCEDENTALCONCEPTSOAKLAND.COM,Hassan
FAMILY DENTAL CARE,FAMILY DENTAL CARE team,OAKLANDFAMILYDENTALCARE@GMAIL.COM,Hassan
UPTOWN DENTAL,UPTOWN DENTAL team,UPTOWN.OAKLAND.DENTAL@GMAIL.COM,Hassan
KELVIN AUYOUNG DDS INC,KELVIN AUYOUNG DDS INC team,KELVINAU@EARTHLINK.NET,Hassan
LI S DENTAL CORPORATION,LI S DENTAL CORPORATION team,LIANDLIANGDENTAL@GMAIL.COM,Hassan
DRAGON DENTAL GROUP,DRAGON DENTAL GROUP team,SMILE@DRAGONDENTAL.COM,Hassan
ARASH ABOLFAZLIAN DDS MSD INC,ARASH ABOLFAZLIAN DDS MSD INC team,OLDOAKLAND@TOTALHEALTHDENTAL.COM,Hassan
DAVID RUSTAMZADEH DDS MSD,DAVID RUSTAMZADEH DDS MSD team,OLDOAKLAND@TOTALHEALTHCENTERDENTALCARE.COM,Hassan
LINDA T THAI DDS,LINDA T THAI DDS team,THAIOAK@AOL.COM,Hassan
ELISA L KUO DDS INC,ELISA,ELISAKUODDS@YAHOO.COM,Hassan
HAI HUANG DDS PROFESSIONAL CORPORATION,HAI HUANG DDS PROFESSIONAL CORPORATION team,INFO@LAKEMERRITTDENTAL.COM,Hassan
STEPHEN MING LEE,STEPHEN MING LEE team,LEEFONGDDS@YAHOO.COM,Hassan
DIANA C FONG,DIANA C FONG team,LEEFONGDDS@YAHOO.COM,Hassan
HAROLD K FUNG DMD INC,HAROLD K FUNG DMD INC team,FUNGDDS@SBCGLOBAL.NET,Hassan
ENDOSPECIALISTS,ENDOSPECIALISTS team,APPOINTMENTS@ENDOSPECIALISTS.COM,Hassan
HANA SOLOMON DDS PC,HANA,HANA.SOLOMON@GMAIL.COM,Hassan
SHIEH DENTAL INC,CINDY,CINDY@SHIEHDENTALINC.COM,Hassan
LI QIN DENTAL PRACTICE INC,LI QIN DENTAL PRACTICE INC team,DRLIDENTISTRY@GMAIL.COM,Hassan
SZETO KS DDS,SZETO KS DDS team,TOVERASZETO@GMAIL.COM,Hassan
PACIFIC DENTAL OFFICE,PACIFIC DENTAL OFFICE team,PACIFICDENTAL801@GMAIL.COM,Hassan
RONG D LU DMD PC,RONG D LU DMD PC team,RONGDLUDMD@GMAIL.COM,Hassan
RUIXIANG L QIN DMD INC,RUIXIANG L QIN DMD INC team,OAKLANDDENTALOFFICE@GMAIL.COM,Hassan
DENISE BASS ALLEN DDS INC,DENISE BASS ALLEN DDS INC team,2100.DBALLENDDS@SBCGLOBAL.NET,Hassan
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,
,,,
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,
,,,
,,,
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,
,,,
,,,
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,Hassan
,,,
,,,
,,,
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
,,,Abubakar
