ID,meta:prdoduct_link,Type,SKU,Product Name,Published,Is featured?,Visibility in catalog,Short description,Product Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Net Weight,Depth,Width,Heght,Allow customer reviews?,Purchase note,Sale price,Regular Price,Categories,Tags,Shipping class,Image URL,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,meta:model,meta:input_voltage,meta:output_voltage,meta:kw_rating,meta:rated_power_in_va,meta:input_connection_type,meta:output_connection_type,meta:number_of_rack_unit,meta:cable_length,meta:number_of_cables,meta:battery_type,meta:run_time,meta:efficiency,meta:battery_voltage,meta:battery_capacity,meta:extendable_run_time,meta:included_battery_modules,meta:battery_slots_empty,meta:typical_recharge_time,meta:rbc_quantity,meta:dc_overcurrent_protection,meta:battery_life,meta:replacement_battery,meta:battery_charge_power_watts,meta:color,meta:mounting_preference,meta:mounting_mode,meta:two_post_mountable,meta:usb_compatible,meta:maximum_input_current_per_phase,meta:maximum_short_circuit_withstand_Icw,meta:switching_current_capacity,meta:efficiency_at_full_load,meta:input_frequency,meta:harmonic_distortion,meta:maximum_configurable_power_in_va,meta:max_configurable_power_in_watts,meta:topology,meta:wave_type,meta:full_load_runtime,meta:half_load_runtime,meta:output_frequency_sync_to_mains,meta:acoustic_level,meta:online_thermal_dissipation,meta:emergency_power_off,meta:free_slots,meta:communication_port_support,meta:alarm,meta:surge_energy_rating,meta:filtering,meta:product_line,meta:shipping_weight,meta:shipping_height,meta:shipping_width,meta:shipping_length,meta:upc_code,meta:lead_time,meta:range_of_product,meta:range_compatibility,meta:product_or_component_type,meta:provided_equipment,meta:number_of_input_phases,meta:standards,meta:variant_option,meta:product_certifications,meta:relative_humidity,meta:storage_relative_humidity,meta:ambient_air_temperature_for_storage,meta:ambient_air_temperature_for_operation,meta:storage_altitude,meta:operating_altitude,meta:communication_network_type,meta:authentication,meta:communication_port_protocol,meta:unit_type_of_package_1,meta:carbon_footprint_kg_co2_eq_total_life_cycle,meta:environmental_disclosure,meta:packaging_made_with_recycled_cardboard,meta:packaging_without_single_use_plastic,meta:eu_rohs_directive,meta:removable_battery,meta:weee,meta:take-back,meta:document_name_1,meta:document_1,meta:document_name_2,meta:document_2,meta:document_name_3,meta:document_3,meta:document_name_4,meta:document_4,meta:document_name_5,meta:document_5,meta:document_name_6,meta:document_6,Worker
Project (84): Products Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.se.com/us/en/product/AP9644,Simple,AP9644,"Device monitoring and management, Network Management Cards, NMC4 for Galaxy VS, Galaxy VL & Galaxy VXL, secure remote UPS monitoring and management",1,0,visible,"Network Management Card for easy monitoring and managing of the Galaxy VS or Galaxy VL. The UPS status can be monitored and managed remotely through the UPS Web Interface, Modbus, or through EcoStruxure IT's cloud-enabled and on-premise software suites.","Network Management Card for easy monitoring and managing of the Galaxy VS or Galaxy VL. The UPS status can be monitored and managed remotely through the UPS Web Interface, Modbus, or through EcoStruxure IT's cloud-enabled and on-premise software suites.",,,taxable,,1,,0,0,0.31,4.25,4.76,1.5,1,,,909,Racks and Accessories,,,https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9644.jpg,,,,,,,,,0,,,,,,,,,1,,,,"Network Management Card LCES2 with Modbus, Ethernet, and Aux Sensors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NMC EMBEDDED SW,1.759,1.97,6.54,9.25,7.31E+11,Usually Ships within 2 Weeks,Network Management Cards,"Galaxy VS
 Galaxy VL
 Galaxy VXL",Device monitoring and management,"Temperature Sensor
 Micro-USB cable
 Installation manual",3,"EN 55035
 EN 61000-4-2
 EN 61000-4-3
 EN 61000-4-4
 EN 61000-4-5
 EN 61000-4-6
 EN 61000-4-8
 EN 61000-4-11
 EN 62040-2
 EN 55011:A1
 EN 55024:A1
 EN 55032:class A
 VCCI class A
 ICES-003:issue 6",Environmental monitoring with Modbus,"FCC Class A
 AS/NZS",0É95 %,0É95 %,5É149 ¡F (-15É65 ¡C),23É113 ¡F (-5É45 ¡C),"0.0000000000É49212.6 ft (0É15000 m)
 0É50000 ft (0.0000000000É15240.0000000000 m)","0...9842.52 ft (0...3000 m)
 0...10000 ft",10/100/1000BASE-T,Radius,"HTTP over secure sockets
 Layer (HTTPS)
 SSH
 FTP
 HTTP
 SNMP
 DHCP
 BOOTP (Bootstrap Protocol)
 TCP/IP",PCE,181,Product Environmental Profile,No,No,Compliant with Exemptions,Yes,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,No,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP9644?filename=Schneider+Electric_Galaxy-VS-Accessories_AP9644.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=990-6147S-EN.pdf&p_Doc_Ref=SPD_CCON-BA3KHG_EN,Environmental Disclosure,https://download.schneider-electric.com/files?p_enDocType=Environmental+Disclosure&p_File_Name=ENVPEP1512011_V1.pdf&p_Doc_Ref=ENVPEP1512011_EN,Brochure,https://download.schneider-electric.com/files?p_enDocType=Brochure&p_File_Name=998-22339634_Galaxy+VS-208-480V_GMA_Brochure_X2A.pdf&p_Doc_Ref=SPD_ACOS-BB6PDK_EN,,,,,Imran
2,https://www.se.com/us/en/product/AP5717,Simple,AP5717,"APC 17"" Rack LCD Console",1,0,visible,"1U rack-mountable keyboard, mouse, and LCD console with US English keyboard layout.","1U rack-mountable keyboard, mouse, and LCD console with US English keyboard layout.",,,taxable,,1,,0,0,35.05,24.17,18.98,1.73,1,,,1600,Racks and Accessories,,,"https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5717-A.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5717-B.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5717-C.jpg",,,,,,,,,0,,,,,,,,,1,,,,"""APC 17"" Rack LCD Console""",100 10,,,,,,1U,,,,,,,,,,,,,,,,,Black,No preference,Rack-mounted,,,,,,,50/60 Hz,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,42.9,5.98,32.52,26.5,7.31E+11,Usually in Stock,,,,"C13-C14 power cord
 Documentation CD
 Firmware upgrade cable
 Installation guide
 NEMA 5-15 power cord
 PS2 KVM cable
 Single user rack mount kit
 USB cable
 USB KVM cable",,"EN 55022 Class A
 EN 55024
 EN 60950
 FCC Part 15 class A
 IEC 60950",,"C-tick
 CE
 Industry Canada
 KCC
 NOM
 UL Listed
 VDE
 TAA compliance",,,,32É104 ¡F,,,,,,PCE,59,Product Environmental Profile,No,No,,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5717?filename=Schneider+Electric_NetShelter-Rack-LCD-Consoles_AP5717.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LCD+Console+AP57%E2%97%8F%E2%97%8F+User+Manual_English_990-3863G.pdf&p_Doc_Ref=990-3863_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=MLAN-837JZH_R2_EN.pdf&p_Doc_Ref=SPD_MLAN-837JZH_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,,,,,Imran
3,https://www.se.com/us/en/product/AP5719,Simple,AP5719,"APC 19"" Rack LCD Console",1,0,visible,"1U rack-mountable keyboard, mouse, and LCD console with US English keyboard layout.","1U rack-mountable keyboard, mouse, and LCD console with US English keyboard layout.",,,taxable,,1,,0,0,38.4,26.18,18.98,1.73,1,,,1975,Racks and Accessories,,,"https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5719-A.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5719-B.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5719-C.jpg",,,,,,,,,0,,,,,,,,,1,,,,"""APC 19"" Rack LCD Console""",100 10,,,,,,1U,,,,,,,,,,,,,,,,,Black,No preference,Rack-mounted,,,,,,,50/60 Hz,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,42.9,5.98,32.52,26.5,7.31E+11,Usually in Stock,,,,"C13-C14 power cord
 Documentation CD
 Firmware upgrade cable
 Installation guide
 NEMA 5-15 power cord
 PS2 KVM cable
 Rack mounting hardware
 Single user rack mount kit
 USB cable
 USB KVM cable",,"EN 55022 Class A
 EN 55024
 EN 60950
 FCC Part 15 class A
 IEC 60950",,"C-tick
 CE
 Industry Canada
 KCC
 NOM
 UL Listed
 VCCI Class A
 VDE
 TAA compliance",,,,32É104 ¡F,,,,,,PCE,64,Product Environmental Profile,No,No,Compliant with Exemptions,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5719?filename=Schneider+Electric_NetShelter-Rack-LCD-Consoles_AP5719.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LCD+Console+AP57%E2%97%8F%E2%97%8F+User+Manual_English_990-3863G.pdf&p_Doc_Ref=990-3863_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=MLAN-837JZH_R2_EN.pdf&p_Doc_Ref=SPD_MLAN-837JZH_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,Environmental Disclosure,https://download.schneider-electric.com/files?p_enDocType=Environmental+Disclosure&p_File_Name=ENVPEP1512008_V1.pdf&p_Doc_Ref=ENVPEP1512008_EN,,,Imran
4,https://www.se.com/us/en/product/AP5808,Simple,AP5808,"17"" Rack LCD Console with Integrated 8 Port Analog KVM Switch",1,0,visible,"The Rack LCD Console with Integrated KVM Switch combines the functionality of Rack LCD Console and Analog KVM switches in one convenient package optimizing U space in the rack environment, eliminating cable clutter, and offering a value of two products functionality in one package. Keyboard is a US English keyboard layout.","The Rack LCD Console with Integrated KVM Switch combines the functionality of Rack LCD Console and Analog KVM switches in one convenient package optimizing U space in the rack environment, eliminating cable clutter, and offering a value of two products functionality in one package. Keyboard is a US English keyboard layout.",,,taxable,,1,,0,0,30.36,27.99,19.02,1.69,1,,,2425,Racks and Accessories,,,"https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5808-A.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5808-B.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5808-C.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5808-D.jpg",,,,,,,,,0,,,,,,,,,1,,,,"""17"" Rack LCD Console with Integrated 8 Port Analog KVM Switch""",120 12,,,,IEC 60320 C14,,1U,6 ft (1.8 m),1,,,,,,,,,,,,,,,Black,No preference,Rack-mounted,,,,,,,50/60 Hz,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,43.78,5.12,32.52,26.5,7.31E+11,Usually in Stock,,,,"USB KVM cable
 Single user rack mount kit
 PS2 KVM cable
 NEMA 5-15 power cord
 Installation guide
 Firmware upgrade cable
 Documentation CD
 C13-C14 power cord",,"EN 60950
 FCC Part 15 class A
 IEC 60950",,"cUL Listed
 C-tick
 CE
 Industry Canada
 KCC
 UL Listed
 VDE
 TAA compliance",,,,32É104 ¡F,,,,,,,60,Product Environmental Profile,No,No,,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5808?filename=Schneider+Electric_NetShelter-Rack-LCD-Consoles_AP5808.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LDC+Console+KVM+Switch+AP+5808+AP5816+User+Manual+990-3770F_EN.pdf&p_Doc_Ref=990-3770_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=BFER-7W5LXU_R2_EN.pdf&p_Doc_Ref=SPD_BFER-7W5LXU_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,,,,,Imran
5,https://www.se.com/us/en/product/AP5816,Simple,AP5816,"17"" Rack LCD Console with Integrated 16 Port Analog KVM Switch",1,0,visible,"The Rack LCD Console with Integrated KVM Switch combines the functionality of Rack LCD Console and Analog KVM switches in one convenient package optimizing U space in the rack environment, eliminating cable clutter, and offering a value of two products functionality in one package. Keyboard is a US English keyboard layout.","The Rack LCD Console with Integrated KVM Switch combines the functionality of Rack LCD Console and Analog KVM switches in one convenient package optimizing U space in the rack environment, eliminating cable clutter, and offering a value of two products functionality in one package. Keyboard is a US English keyboard layout.",,,taxable,,1,,0,0,30.9,27.99,19.02,1.69,1,,,2825,Racks and Accessories,,,"https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5816-A.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5816-B.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5816-C.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5816-D.jpg",,,,,,,,,0,,,,,,,,,1,,,,"""17"" Rack LCD Console with Integrated 16 Port Analog KVM Switch""",120 12,,,,IEC 60320 C14,,1U,6 ft (1.8 m),1,,,,,,,,,,,,,,,Black,No preference,Rack-mounted,,,,,,,50/60 Hz,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,44.4,5.12,32.52,26.5,7.31E+11,Usually in Stock,,,,"USB KVM cable
 Single user rack mount kit
 PS2 KVM cable
 NEMA 5-15 power cord
 Installation guide
 Firmware upgrade cable
 Documentation CD
 C13-C14 power cord",,"EN 60950
 FCC Part 15 class A
 IEC 60950",,"cUL Listed
 C-tick
 CE
 Industry Canada
 KCC
 UL Listed
 VDE
 TAA compliance",,,,32É104 ¡F,,,,,,PCE,61,Product Environmental Profile,No,No,,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5816?filename=Schneider+Electric_NetShelter-Rack-LCD-Consoles_AP5816.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LDC+Console+KVM+Switch+AP+5808+AP5816+User+Manual+990-3770F_EN.pdf&p_Doc_Ref=990-3770_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=BFER-7W5LXU_R2_EN.pdf&p_Doc_Ref=SPD_BFER-7W5LXU_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,,,,,Imran
6,https://www.se.com/us/en/product/AP5821,Simple,AP5821,APC Integrated Rack LCD/KVM USB Cable - 6ft (1.8m),1,0,visible,,,,,taxable,,1,,0,0,0.15,0.51,0.98,0.51,1,,,89.99,Racks and Accessories,,,https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5821.jpg,,,,,,,,,0,,,,,,,,,1,,,,APC Integrated Rack LCD/KVM USB Cable - 6ft (1.8m),,,,,,,,6 ft (1.8 m),,,,,,,,,,,,,,,,"Black, Blue, Green",,Not rack-mountable,,,,,,,,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,0.18,1.97,9.25,6.5,7.31E+11,Usually in Stock,,,,,,,,,,,,,,,,,,PCE,1,Product Environmental Profile,No,No,Compliant with Exemptions,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5821?filename=Schneider+Electric_NetShelter-KVM-Switches_AP5821.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LDC+Console+KVM+Switch+AP+5808+AP5816+User+Manual+990-3770F_EN.pdf&p_Doc_Ref=990-3770_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=BFER-7W5LXU_R2_EN.pdf&p_Doc_Ref=SPD_BFER-7W5LXU_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,,,,,Imran
7,https://www.se.com/us/en/product/AP5822,Simple,AP5822,APC Integrated Rack LCD/KVM USB Cable - 10ft (3m),1,0,visible,,,,,taxable,,1,,0,0,0.31,0.51,0.98,0.51,1,,,119.99,Racks and Accessories,,,https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5822.jpg,,,,,,,,,0,,,,,,,,,1,,,,APC Integrated Rack LCD/KVM USB Cable - 10ft (3m),,,,,,,,12 ft (3.7 m),,,,,,,,,,,,,,,,"Black, Blue, Green",,Not rack-mountable,,,,,,,,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,0.33,1.97,9.25,6.5,7.31E+11,Usually in Stock,,,,,,,,,,,,,,,,,,PCE,,Product Environmental Profile,No,No,Compliant with Exemptions,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5822?filename=Schneider+Electric_NetShelter-KVM-Switches_AP5822.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LDC+Console+KVM+Switch+AP+5808+AP5816+User+Manual+990-3770F_EN.pdf&p_Doc_Ref=990-3770_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=BFER-7W5LXU_R2_EN.pdf&p_Doc_Ref=SPD_BFER-7W5LXU_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,Environmental Disclosure,https://download.schneider-electric.com/files?p_enDocType=Environmental+Disclosure&p_File_Name=ENVPEP1512008_V1.pdf&p_Doc_Ref=ENVPEP1512008,,,Imran
8,https://www.se.com/us/en/product/AP5823,Simple,AP5823,APC Integrated Rack LCD/KVM USB Cable-17ft (5m),1,0,visible,,,,,taxable,,1,,0,0,0.7,0.51,0.98,0.51,1,,,149.99,Racks and Accessories,,,https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP5823.jpg,,,,,,,,,0,,,,,,,,,1,,,,APC Integrated Rack LCD/KVM USB Cable - 17ft (5m),,,,,,,,17 ft (5.2 m),,,,,,,,,,,,,,,,"Black, Blue, Green",,Not rack-mountable,,,,,,,,,,,,,,,,,,,,,,,,KVM LCD AND SWITCHES,0.703,1.97,9.25,6.5,7.31E+11,Usually in Stock,,,,,,,,,,,,,,,,,,PCE,,Product Environmental Profile,No,No,Compliant with Exemptions,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP5823?filename=Schneider+Electric_NetShelter-KVM-Switches_AP5823.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=Rack+LDC+Console+KVM+Switch+AP+5808+AP5816+User+Manual+990-3770F_EN.pdf&p_Doc_Ref=990-3770_EN,Instruction Sheet,https://download.schneider-electric.com/files?p_enDocType=Instruction+sheet&p_File_Name=BFER-7W5LXU_R2_EN.pdf&p_Doc_Ref=SPD_BFER-7W5LXU_EN,Catalog,https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=1014g-APC_RackSystems_e-guide2024_v060724_ac.pdf&p_Doc_Ref=SP_RacksPocketGuide_230V,Environmental Disclosure,https://download.schneider-electric.com/files?p_enDocType=Environmental+Disclosure&p_File_Name=ENVPEP1512008_V1.pdf&p_Doc_Ref=ENVPEP1512008_EN,,,Imran
9,https://www.se.com/us/en/product/AP9525,Simple,AP9525,"License, EcoStruxure IT Data Center Expert, paper, perpetual, 25 nodes",1,0,visible,EcoStruxure IT Data Center Expert provides remote monitoring and management capabilities for your data center. Perpetual paper node licenses gives you the scalability to add devices as your infrastructure grows. Node licenses can be purchased in different amounts as perpetual licenses which can be added to your DCE on-the-fly.,EcoStruxure IT Data Center Expert provides remote monitoring and management capabilities for your data center. Perpetual paper node licenses gives you the scalability to add devices as your infrastructure grows. Node licenses can be purchased in different amounts as perpetual licenses which can be added to your DCE on-the-fly.,,,taxable,,1,,0,0,,,,,1,,,1800,Racks and Accessories,,,"https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-A.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-B.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-C.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-D.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-E.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-F.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-G.jpg, https://thepropagandastudio.com/clients/questyme/wp-content/uploads/2025/02/AP9525-H.jpg",,,,,,,,,0,,,,,,,,,1,,,,Data Center Expert Perpetual License for 25 nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATA CENTER EXPERT,0.99,9.02,0.24,12.01,7.31E+11,Usually in Stock,EcoStruxure IT Data Center Expert,EcoStruxure IT Data Center Expert,License,,,,,,,,,,,,,,,PCE,,Product Environmental Profile,No,No,,,The product must be disposed on European Union markets following specific waste collection and never end up in rubbish bins.,Yes,Product Datasheet,https://www.se.com/us/en/product/download-pdf/AP9525?filename=Schneider+Electric_EcoStruxure-IT-Data-Center-Expert_AP9525.pdf,User guide,https://download.schneider-electric.com/files?p_enDocType=User+guide&p_File_Name=DCE793_pdf_vm_en_help.pdf&p_Doc_Ref=SPD_JLER-8M7NG2_EN,Environmental Disclosure,https://download.schneider-electric.com/files?p_enDocType=Environmental+Disclosure&p_File_Name=ENVPEP1512011_V1.pdf&p_Doc_Ref=ENVPEP1512011_EN,,,,,,,Imran
