,Backgroundchecks.com,Clearchecks,GoodHire,AccurateNow,Cisive,First Advantage,Certn,Vetty
Project (76): Research Prices and Packages of 8 Companies,,,,,,,,
Base Pricing,$36.47,Basic: $24.99,Basic: $29.99,Basic+: $30.99,,Basic: $25.00 - $29.00,"US Base Criminal Check: $29.99 per check.
US Single County Criminal Check: $34.99 per check",$29.99
Standard Pricing,$49.95,Standard: $39.99,Essential: $54.99,Standard: $62.05,,,$3 to $25,$49.99
Profesional Pricing,$64.95,Professional: $69.99,Complete: $89.99,Premium: $77.57,,,,$99.99
Base Product Suite,"- Instant Criminal+ Package:
- Instant search of over 650 million records and 20 million photos.
- Validation of Social Security Number (SSN).
- Search for multiple names, including primary name and known aliases based on the subject's SSN.
- Search of U.S. offender registries plus Guam and Puerto Rico.
- Search of 100+ national and international security sources, such as terrorist watch lists and the Office of Foreign Assets Control (OFAC).","- Social Security Number (SSN) trace
- Addresses, Names, & DOB verification
- National database criminal records search*
- National sex offender search
- Global, US, & state watchlists","- SSN Trace
- Sex Offender Registry Search
- Global Watchlist Search
- National Criminal Search","- SSN Trace
- Current County Criminal Search
- National Criminal Database
- National Sex Offender Registry","- Identity Verification: Confirms candidate identity using SSN trace and address history.
- National Criminal Database Search: Includes national criminal records and sex offender registry checks.
- Global Watchlist Search: Screens for international sanctions and watchlists.",- Criminal Background Checks: Comprehensive searches to identify any criminal history. - Employment Verification: Confirms the candidate's employment history. - Education Verification: Validates the candidate's educational background. - Social Security Number Trace: Verifies the authenticity of the provided SSN.,"- US Base Criminal Check Package: Includes:
- US Social Security Number Trace
- US National Criminal Record Database Check (with alias)
- US National Sex Offender Registry Check (with alias)
- Global Sanctions and Terrorist Watchlist Check (with alias)","- Standard Background Packages: Choice of six pre-built screening packages.
- Automated Drug Screening: Streamlined drug testing process.
- ID and MVR Document Storage: Secure storage for identification and motor vehicle records.
- Custom Branded Communication Documents: Personalized communication materials.
- VettyVerify™ Candidate Timeline: Transparent candidate progress tracking.
- Text-to-Start Candidate Onboarding: Simplified onboarding via text messages.
- ATS Integrations Marketplace: Integration with Applicant Tracking Systems.
- Compliance Wizard with Optional VettyComply™: Guidance on compliance matters."
Standard Product Suite,"- Instant Criminal+ One County Package:
- Includes all features from the Instant Criminal+ Package.
- Using the name provided, searches criminal records from the one county where the candidate has lived most recently.","- Same as Base Product Suite, plus:
- Unlimited county criminal record search based on 7-year address history**",All Base features + Unlimited County Criminal Search,All Base features + employment verification and education verification,"- Includes all Base Product Suite features, plus:
- Employment Verification: Confirms past employment history.
- Education Verification: Validates academic credentials.
- County Criminal Searches: Unlimited searches based on 7-year address history.","- Includes all features from the Base Product Suite, plus:
- Drug and Health Screening: Offers various drug testing options to meet employer requirements. - International Background Checks: Provides global screening services for candidates with international backgrounds. - Fingerprinting Services: Assists in capturing and processing fingerprints quickly.","- US Single County Criminal Check Package: Includes:
- US Social Security Number Trace
- US National Criminal Record Database Check (with alias)
- US National Sex Offender Registry Check (with alias)
- Global Sanctions and Terrorist Watchlist Check (with alias)
- Single County Criminal Record Check","- Includes all features from the Base Product Suite, plus:
- Custom Background Packages: Tailored screening packages to meet specific needs.
- Candidate-Centric A La Carte Add-Ons: Additional checks and verifications as needed.
- Teammate-to-Teammate Notifications: Enhanced team communication features.
- Analytics Dashboard: Insights into screening processes and outcomes.
- International Checks: Global background screening capabilities."
Profesional Product Suite,"- Instant Criminal+ All Counties Package:
- Includes all features from the Instant Criminal+ Package.
- Searches criminal records from all U.S. counties where the candidate has lived for the past seven years.","- Same as Standard Product Suite, plus:
- Education Degree Verification (US Universities, College, Jr. College, & trade schools)
- Federal Criminal Search
- Employment Verifications
- Unlimited county criminal record search based on 7-year address history**","All Standard features + Unlimited State Criminal Search, Federal Criminal Search","All Standard features + federal criminal search, motor vehicle reports, and drug testing","- Includes all Standard Product Suite features, plus:
- Federal Criminal Search: Checks federal court records for serious offenses.
- Drug Testing: Screens for substance abuse.
- Professional License Verification: Ensures candidates hold valid licenses for regulated roles.","- Encompasses all features from the Standard Product Suite, along with:
- Continuous Criminal Records Monitoring: Provides reportable criminal records activity in near real-time. - Executive Intelligence: Offers in-depth background checks for executive-level positions. - Customized Screening Solutions: Tailored background check packages to meet specific organizational needs.",customizable packages,"- Encompasses all features from the Standard Product Suite, along with:
- API Integrations: Seamless integration with existing systems.
- Healthcare Workflows: Specialized processes for healthcare industry needs.
- Custom Adjudication Matrix: Personalized criteria for evaluating background check results."
,,,,,,,,
Additional Add-on Options,"Driving Record Report: Covers driving records in 50 states, with instant results in 48. These reports can include records of driving while intoxicated, revoked licenses, accidents, and minor traffic violations.",Federal Criminal Search - $9.99,Employment Verification,Federal Criminal Search,Motor Vehicle Records (MVR): Checks driving history for roles requiring transportation.,Electronic I-9 and E-Verify Services: Streamlines the employment eligibility verification process.,Reference Checks: Starting at $5.,Custom Background Packages: Build your own packages to meet the needs of your workforce.
,Drug Screening: Offers various drug testing options to meet employer requirements.,Employment Verifications,Education Verification,Employment Verification,Credit Checks: Assesses financial responsibility for roles involving financial management.,Motor Vehicle Records Check: Reviews the candidate's driving history.,Credit Checks: $14.99.,Candidate-Centric A La Carte Add-Ons: Add specific checks and verifications as needed.
