Company Name,Industry,Country of Origin,Year,Rank on the list,Total Revenue (should be for the corresponding year as in row D; in this case for 2023),Europe Revenue absolute (2023),Europe Revenue percentage (2023),Americas Revenue absolute (2023),Americas Revenue percentage (2023),Asia & Australia Revenue absolute (2023),Asia & Australia Revenue percentage (2023),Africa Revenue absolute (2006),Africa Revenue percentage (2023),Pre-tax ROA,Check,Worker,Notes
Volkswagen AG,Automobile Manufacturers,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Mercedes-Benz Group AG,Automobile Manufacturers,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
DHL Group (Deutsche Post AG),Air Freight and Logistics,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
E.ON SE,Multi-Utilities,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Robert Bosch GmbH,Automotive Parts and Equipment,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
BASF SE,Diversified Chemicals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Edeka Zentrale,Food Retail,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Bayer AG,Pharmaceuticals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Continental AG,Automotive Parts and Equipment,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Henkel AG & Co. KGaA,Household Products,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Adidas AG,"Apparel, Accessories and Luxury Goods",Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
RWE AG,Independent Power Producers and Energy Traders,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Fresenius SE & Co. KGaA,Health Care Services,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Vonovia SE,Real Estate Operating Companies,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
SAP SE,Application Software,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Merck KGaA,Pharmaceuticals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Evonik Industries AG,Specialty Chemicals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Lanxess AG,Diversified Chemicals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Rheinmetall AG,Aerospace and Defense,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Fraport AG,Airport Services,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Wacker Chemie AG,Specialty Chemicals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Puma SE,Footwear,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Hapag-Lloyd AG,Marine Transportation,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
EnBW Energie Baden-Württemberg AG,Electric Utilities,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Henkel AG & Co. KGaA,Household Products,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Merck KGaA,Pharmaceuticals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
BayWa AG,Trading Companies and Distributors,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Strabag SE,Construction and Engineering,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Lufthansa AG,Passenger Airlines,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Hapag-Lloyd AG,Marine Transportation,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
Evonik Industries AG,Specialty Chemicals,Germany,2023,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,
