Business,HIC #,Expiration,Phone,Address,City,State,Zip,,Worker
Project (198): Extract data for B2B client list,,,,,,,,,
Willow Grove Zip codes list:,,,,,,,,,
A&K REMODELING LLC,PA194171,7/23/2026,267-463-8585,204 Broad St,Beverly,NJ,8010,,Sample
Alam Service LLC,PA189264,02/01/2026,609-304-4396,4 Framingham Road,Edgewater Park,NJ,8010,,Sample
Angela's Contractor's Inc,PA059743,12/08/2026,267-241-7086,1 Walnut,Beverly,NJ,8010,,Sample
B &MH ENTERPRISE,PA165432,06/01/2025,609-444-9432,275 GREEN ST APT 4F3,Beverly,NJ,8010,,Sample
BOSS PAINTING LLC,PA184121,6/28/2025,215-803-3113,275 GREEN ST APT 4L7,Beverly,NJ,8010,,Sample
"Adam Industrial Maintenance & Supply Co., Inc.",PA193294,6/17/2026,856-662-6535,7300 N Crescent Blvd,Pennsauken,NJ,8110,,Rehan
AUDIO VIDEO REPAIR INC,PA081184,5/26/2025,856-320-4530,9105 Collins Ave,Pennsauken,NJ,8110,,Rehan
"Carlo Plumbing & Heating, Inc",PA046120,08/12/2025,856-665-0233,2230 Clements Ave,Pennsauken,NJ,8110,,Rehan
E & A CONSTRUCTION CORP,PA157695,7/29/2026,732-912-5691,2326 49TH STREET,Pennsauken,NJ,8110,,Rehan
Ed Spaged Handyman Contracting LLC,PA189695,2/17/2026,856-200-5752,4517 High St,Pennsauken,NJ,8110,,Rehan
Frank Handyman,PA195582,9/18/2026,347-844-5735,1606 49th St,Pennsauken,NJ,8110,,Junaid
GENSUN ROOFING LLC,PA169913,12/22/2025,215-913-7700,900 Sherman Avenue,Pennsauken,NJ,8110,,Junaid
GOLDEN TOUCH ROOFING LLC,PA192582,5/21/2026,856-203-5069,2143 COVE RD,Pennsauken,NJ,8110,,Junaid
Gutierrez Construction LLC,PA191664,4/19/2026,516-708-6730,6848 Waldorf Ave,Pennsauken,NJ,8110,,Junaid
Jpp home Improvement,PA172243,3/23/2026,856-580-2629,PO BOX 75,Pennsauken,NJ,8110,,Junaid
"LeafGuard Holdings, Inc.",PA126357,10/21/2026,856-831-1726,7300 N Crescent Blvd Bldg 5,Pennsauken,NJ,8110,,Junaid
